fecha,fase,subevento,potencia_transformadora_real,autonomia_efectiva,verdad_epistemica_parcial,orientacion_liberadora_no_manipuladora,apertura_de_posibilidades,captura_demiurgica,sufrimiento_estructural,riesgo_de_recaida,impacto_ecologico,utilidad_exergica,coeficiente_de_paciente_moral,coeficiente_de_agencia_imputable,intencionalidad_de_dominio,lucidez_del_agente,gratuidad_del_dano,riesgo_de_justificacion_de_crueldad,persistencia_del_dano_base,tipo,persistencia_del_dano,persistencia_del_beneficio,irreversibilidad,penalizacion_estructural,exergia_filosofica_bruta,exergia_real,indice_etico_inmediato,penalizacion_de_atrocidad,indice_etico_ajustado,indice_estrategico_historico,balance_estructural_inicial,imputacion_moral_fuerte,energia_liberadora,energia_degradativa,energia_neta,t,peso_causal,omega,dano_acumulado_incremental,beneficio_acumulado_incremental,dano_acumulado,beneficio_acumulado,saldo_temporal
2026-03-09,Fase 2. Escalada regional,Se deteriora la confianza en una desescalada rapida,0.36,0.48,0.44,0.1,0.12,0.62,0.3,0.82,0.05,0.4,1.0,0.7,0.3,0.7,0.12,0.6,0.65,evento_actual,0.65,0.35,0.38,0.4148,0.2673,0.189,-0.04,0.12,-0.16,0.2133,-0.1109,0.2856,1.9,1.79,0.11,13,1.0,0.02,0.0073,0.0031,0.4624,0.0578,-0.4046
2026-03-10,Fase 2. Escalada regional,La guerra pasa a percibirse como conflicto de semanas y no de dias,0.34,0.46,0.48,0.12,0.14,0.6,0.28,0.8,0.04,0.38,1.0,0.7,0.28,0.7,0.1,0.58,0.62,evento_actual,0.62,0.36,0.368,0.396,0.2797,0.2004,-0.0299,0.116,-0.1459,0.2163,-0.095,0.2744,1.92,1.72,0.2,14,1.0,0.02,0.0062,0.0034,0.4686,0.0611,-0.4074
2026-03-12,Fase 2. Escalada regional,Miles de eventos violentos acumulados en el territorio irani,0.76,0.72,0.2,0.02,0.1,0.88,0.76,0.9,0.4,0.7,1.0,1.0,0.9,0.9,0.7,0.9,0.96,evento_actual,0.96,0.31,0.656,0.6998,0.2313,0.1361,-0.267,0.1819,-0.449,0.2603,-0.3311,0.835,2.5,2.94,-0.44,15,1.0,0.02,0.0364,0.0018,0.5049,0.0629,-0.442
2026-03-14,Fase 2. Escalada regional,La guerra alcanza una densidad de ataques compatible con dano sistemico,0.78,0.74,0.2,0.02,0.1,0.9,0.78,0.92,0.42,0.72,1.0,1.0,0.9,0.9,0.72,0.92,0.96,evento_actual,0.96,0.31,0.668,0.726,0.2345,0.1359,-0.281,0.187,-0.468,0.2616,-0.3465,0.846,2.56,3.02,-0.46,16,1.0,0.02,0.0371,0.0018,0.542,0.0647,-0.4773
2026-03-16,Fase 2. Escalada regional,ACLED y medios describen miles de ataques y fuerte extension territorial,0.42,0.5,0.56,0.14,0.16,0.48,0.24,0.74,0.06,0.44,1.0,0.75,0.24,0.68,0.12,0.46,0.6,evento_actual,0.6,0.37,0.344,0.3322,0.3241,0.2433,0.0066,0.092,-0.0854,0.2618,-0.0505,0.264,2.22,1.52,0.7,17,1.0,0.02,0.0039,0.0037,0.5459,0.0684,-0.4775
2026-03-18,Fase 2. Escalada regional,Los ataques se extienden y afectan la percepcion de seguridad regional,0.58,0.6,0.34,0.08,0.18,0.72,0.46,0.84,0.14,0.52,1.0,0.9,0.62,0.74,0.28,0.7,0.82,evento_actual,0.82,0.34,0.476,0.5014,0.3099,0.2064,-0.1001,0.14,-0.2401,0.283,-0.1576,0.5148,2.3,2.16,0.14,18,1.0,0.02,0.013,0.0028,0.5589,0.0712,-0.4877
2026-03-20,Fase 2. Escalada regional,Se consolidan danos economicos y humanitarios acumulativos,0.55,0.58,0.36,0.1,0.2,0.76,0.5,0.86,0.2,0.54,1.0,0.9,0.6,0.76,0.34,0.74,0.84,evento_actual,0.84,0.35,0.5,0.549,0.3278,0.2116,-0.1235,0.148,-0.2715,0.2781,-0.177,0.5373,2.33,2.32,0.01,19,1.0,0.02,0.0152,0.003,0.5742,0.0742,-0.4999
2026-03-22,Fase 3. Ormuz y energia,Iran restringe de facto el Estrecho de Ormuz,0.84,0.88,0.28,0.02,0.18,0.92,0.66,0.88,0.5,0.84,0.8,1.0,0.94,0.9,0.72,0.9,0.9,evento_actual,0.9,0.31,0.596,0.7526,0.2925,0.1669,-0.1892,0.1843,-0.3735,0.3299,-0.314,0.6736,3.04,2.96,0.08,20,1.0,0.02,0.0281,0.0023,0.6022,0.0765,-0.5257
2026-03-23,Fase 3. Ormuz y energia,Empiezan disrupciones severas en el trafico energetico global,0.66,0.66,0.4,0.04,0.16,0.78,0.4,0.86,0.36,0.72,0.8,0.9,0.76,0.8,0.48,0.78,0.82,evento_actual,0.82,0.32,0.44,0.6094,0.3049,0.1894,-0.0935,0.156,-0.2495,0.2941,-0.2036,0.4766,2.64,2.4,0.24,21,1.0,0.02,0.0145,0.0024,0.6168,0.0789,-0.5379
2026-03-24,Fase 3. Ormuz y energia,Suben tensiones sobre transporte de petroleo y gas por Ormuz,0.62,0.64,0.42,0.05,0.16,0.76,0.36,0.84,0.28,0.68,0.8,0.9,0.72,0.78,0.42,0.76,0.8,evento_actual,0.8,0.325,0.416,0.567,0.3111,0.1985,-0.0755,0.152,-0.2275,0.2909,-0.1768,0.4507,2.57,2.24,0.33,22,1.0,0.02,0.012,0.0024,0.6287,0.0812,-0.5475
2026-03-25,Fase 3. Ormuz y energia,Paises importadores y mercados comienzan a absorber el shock,0.44,0.54,0.5,0.1,0.24,0.52,0.24,0.76,0.12,0.48,0.8,0.7,0.36,0.62,0.14,0.5,0.7,evento_actual,0.7,0.35,0.344,0.3722,0.3332,0.2428,-0.0071,0.1,-0.1071,0.2964,-0.0704,0.2139,2.3,1.64,0.66,23,1.0,0.02,0.0046,0.003,0.6333,0.0842,-0.5491
2026-03-26,Fase 3. Ormuz y energia,Coaliciones externas estudian medidas para reabrir la ruta maritima,0.48,0.58,0.46,0.22,0.32,0.46,0.18,0.7,0.08,0.52,0.8,0.75,0.24,0.62,0.1,0.44,0.6,evento_actual,0.6,0.41,0.308,0.3186,0.4091,0.3102,0.0118,0.088,-0.0762,0.3518,-0.0073,0.1938,2.58,1.42,1.16,24,1.0,0.02,0.0028,0.0043,0.6361,0.0885,-0.5476
2026-03-27,Fase 3. Ormuz y energia,El conflicto pasa a amenazar abiertamente la economia mundial,0.58,0.6,0.38,0.06,0.14,0.8,0.42,0.86,0.26,0.64,0.8,0.9,0.7,0.8,0.38,0.78,0.84,evento_actual,0.84,0.33,0.452,0.592,0.2987,0.1877,-0.097,0.156,-0.253,0.264,-0.1966,0.4565,2.4,2.34,0.06,25,1.0,0.02,0.0125,0.002,0.6486,0.0905,-0.5581
2026-03-28,Fase 3. Ormuz y energia,Aumenta la presion diplomatica y coercitiva para la reapertura de Ormuz,0.52,0.58,0.42,0.12,0.26,0.62,0.26,0.78,0.1,0.58,0.8,0.8,0.44,0.72,0.18,0.6,0.72,evento_actual,0.72,0.36,0.356,0.4178,0.3631,0.2561,-0.0252,0.12,-0.1452,0.3257,-0.0794,0.2899,2.48,1.76,0.72,26,1.0,0.02,0.0053,0.0029,0.6539,0.0933,-0.5606
2026-03-29,Fase 3. Ormuz y energia,Se convierte Ormuz en el principal punto de apalancamiento estrategico de Iran,0.76,0.86,0.3,0.02,0.14,0.9,0.56,0.86,0.38,0.82,0.8,1.0,0.9,0.9,0.68,0.88,0.88,evento_actual,0.88,0.31,0.536,0.696,0.2768,0.1632,-0.1496,0.179,-0.3286,0.3086,-0.2735,0.644,2.9,2.7,0.2,27,1.0,0.02,0.0177,0.0017,0.6716,0.095,-0.5766
2026-03-30,Fase 3. Ormuz y energia,Se expande la amenaza de acciones militares para forzar el paso,0.72,0.74,0.24,0.04,0.12,0.86,0.58,0.88,0.3,0.72,0.8,1.0,0.88,0.88,0.62,0.86,0.9,evento_actual,0.9,0.32,0.548,0.6498,0.276,0.1673,-0.1509,0.1731,-0.324,0.2808,-0.2553,0.6232,2.58,2.62,-0.04,28,1.0,0.02,0.0162,0.0015,0.6878,0.0965,-0.5913
2026-03-31,Fase 3. Ormuz y energia,El cierre parcial se vuelve el eje central del pulso politico-militar,0.7,0.82,0.32,0.04,0.16,0.88,0.5,0.86,0.28,0.78,0.8,1.0,0.86,0.86,0.6,0.84,0.86,evento_actual,0.86,0.32,0.5,0.6518,0.3117,0.1887,-0.1231,0.1699,-0.293,0.3132,-0.2314,0.6064,2.82,2.52,0.3,29,1.0,0.02,0.0138,0.0018,0.7016,0.0983,-0.6033
2026-04-01,Fase 4. Infraestructura y guerra ampliada,Se reportan ataques a farmaceuticas y acerias en Isfahan y Farokhshahr,0.72,0.72,0.22,0.02,0.08,0.92,0.76,0.92,0.58,0.74,0.8,1.0,0.94,0.92,0.82,0.92,0.94,evento_actual,0.94,0.31,0.656,0.7886,0.2265,0.1266,-0.2376,0.1883,-0.4259,0.234,-0.372,0.7048,2.5,3.18,-0.68,30,1.0,0.02,0.0239,0.0011,0.7255,0.0993,-0.6261
2026-04-01,Fase 4. Infraestructura y guerra ampliada,Trump afirma que la guerra podria terminar sin acuerdo en pocas semanas,0.34,0.46,0.36,0.1,0.18,0.46,0.12,0.6,0.02,0.44,1.0,0.85,0.28,0.7,0.08,0.42,0.56,evento_actual,0.56,0.35,0.272,0.2706,0.2764,0.2175,-0.0016,0.084,-0.0856,0.2626,-0.0336,0.2856,1.88,1.2,0.68,31,1.0,0.02,0.0016,0.0017,0.7271,0.1011,-0.626
2026-04-02,Fase 4. Infraestructura y guerra ampliada,Coalicion liderada por Reino Unido de unos 40 paises promete accion sobre Ormuz,0.52,0.6,0.5,0.26,0.4,0.42,0.16,0.66,0.08,0.56,0.8,0.85,0.26,0.64,0.1,0.4,0.58,evento_actual,0.58,0.43,0.296,0.2926,0.4568,0.3534,0.0264,0.08,-0.0536,0.3978,0.0232,0.2183,2.84,1.32,1.52,32,1.0,0.02,0.0018,0.004,0.7288,0.105,-0.6238
2026-04-02,Fase 4. Infraestructura y guerra ampliada,La reapertura de la ruta se vuelve prioridad internacional declarada,0.44,0.54,0.54,0.24,0.36,0.36,0.12,0.62,0.06,0.54,0.8,0.8,0.2,0.62,0.06,0.34,0.52,evento_actual,0.52,0.42,0.272,0.2558,0.4261,0.3393,0.0332,0.068,-0.0348,0.3691,0.0299,0.1766,2.66,1.16,1.5,33,1.0,0.02,0.0011,0.0035,0.73,0.1085,-0.6214
2026-04-03,Fase 4. Infraestructura y guerra ampliada,Iran derriba un F-15E de Estados Unidos dentro del conflicto,0.82,0.78,0.2,0.02,0.12,0.88,0.62,0.9,0.22,0.76,1.0,1.0,0.88,0.9,0.7,0.88,0.92,evento_actual,0.92,0.31,0.572,0.6458,0.2481,0.1508,-0.2002,0.1779,-0.3781,0.2986,-0.2703,0.809,2.7,2.62,0.08,34,1.0,0.02,0.0137,0.001,0.7437,0.1095,-0.6341
2026-04-04,Fase 5. Riesgo nuclear y diplomacia,Cuarto ataque reportado contra la central nuclear de Bushehr,0.76,0.74,0.18,0.01,0.04,0.98,0.84,0.98,0.98,0.72,1.0,1.0,0.98,0.94,0.92,0.98,0.98,evento_actual,0.98,0.305,0.788,0.9722,0.1754,0.089,-0.3971,0.2057,-0.6029,0.1809,-0.4906,0.939,2.45,3.78,-1.33,35,1.0,0.02,0.0294,0.0006,0.773,0.1102,-0.6628
2026-04-04,Fase 4. Infraestructura y guerra ampliada,Rescate posterior del tripulante estadounidense desaparecido,0.4,0.58,0.48,0.22,0.24,0.42,0.18,0.58,0.04,0.5,1.0,0.9,0.22,0.7,0.1,0.4,0.58,evento_actual,0.58,0.41,0.308,0.2566,0.3785,0.3012,0.0258,0.08,-0.0542,0.3251,0.0122,0.2934,2.42,1.22,1.2,36,1.0,0.02,0.0014,0.0026,0.7744,0.1128,-0.6617
2026-04-04,Fase 4. Infraestructura y guerra ampliada,Se intensifican amenazas sobre puentes y centrales electricas de Iran,0.7,0.76,0.16,0.01,0.06,0.96,0.86,0.94,0.7,0.74,1.0,1.0,0.96,0.92,0.9,0.96,0.96,evento_actual,0.96,0.305,0.716,0.8606,0.1832,0.0985,-0.3673,0.1997,-0.5671,0.2107,-0.4429,0.925,2.43,3.46,-1.03,37,1.0,0.02,0.0231,0.0006,0.7975,0.1134,-0.6841
2026-04-04,Fase 4. Infraestructura y guerra ampliada,Se reportan nuevas victimas en Haifa por misiles iranies,0.62,0.66,0.24,0.02,0.08,0.84,0.72,0.88,0.18,0.56,1.0,1.0,0.86,0.84,0.7,0.86,0.9,evento_actual,0.9,0.31,0.632,0.6002,0.2109,0.1318,-0.2135,0.1725,-0.386,0.2299,-0.2828,0.799,2.18,2.62,-0.44,38,1.0,0.02,0.0122,0.0008,0.8098,0.1142,-0.6956
2026-04-04,Fase 4. Infraestructura y guerra ampliada,Universidades y otras infraestructuras civiles aparecen bajo mayor presion,0.64,0.7,0.18,0.01,0.08,0.94,0.82,0.92,0.6,0.7,1.0,1.0,0.94,0.9,0.88,0.94,0.94,evento_actual,0.94,0.305,0.692,0.8094,0.1887,0.1043,-0.3335,0.1939,-0.5274,0.2199,-0.4077,0.902,2.31,3.28,-0.97,39,1.0,0.02,0.0191,0.0006,0.8289,0.1148,-0.7141
2026-04-05,Fase 5. Riesgo nuclear y diplomacia,Ataques israelies a South Pars y Asaluyeh,0.78,0.74,0.24,0.02,0.08,0.92,0.74,0.9,0.86,0.78,0.8,1.0,0.92,0.88,0.82,0.92,0.92,evento_actual,0.92,0.31,0.716,0.8666,0.236,0.1264,-0.2558,0.1883,-0.4442,0.2334,-0.401,0.692,2.64,3.42,-0.78,40,1.0,0.02,0.019,0.0008,0.8479,0.1156,-0.7323
2026-04-05,Fase 4. Infraestructura y guerra ampliada,La prensa y gobiernos hablan ya de amenaza a infraestructura civil amplia,0.42,0.5,0.52,0.08,0.12,0.56,0.2,0.76,0.1,0.48,1.0,0.8,0.3,0.68,0.14,0.5,0.64,evento_actual,0.64,0.34,0.32,0.3834,0.282,0.2039,-0.0129,0.1,-0.1129,0.2397,-0.0884,0.3048,2.12,1.62,0.5,41,1.0,0.02,0.0022,0.0012,0.8501,0.1168,-0.7333
2026-04-05,Fase 5. Riesgo nuclear y diplomacia,Muerte de un miembro de seguridad y heridos en Bushehr,0.46,0.44,0.26,0.01,0.02,0.94,0.86,0.96,0.92,0.44,1.0,1.0,0.96,0.92,0.96,0.98,0.98,evento_actual,0.98,0.305,0.752,0.9174,0.1291,0.0673,-0.3893,0.2019,-0.5912,0.1071,-0.4856,0.933,1.63,3.68,-2.05,42,1.0,0.02,0.0217,0.0004,0.8718,0.1172,-0.7546
2026-04-05,Fase 5. Riesgo nuclear y diplomacia,Se agrava el riesgo energetico y ecologico por el ataque a South Pars,0.6,0.58,0.4,0.04,0.08,0.82,0.54,0.88,0.88,0.72,0.8,0.95,0.82,0.82,0.62,0.84,0.86,evento_actual,0.86,0.32,0.728,0.797,0.2616,0.1456,-0.1807,0.1681,-0.3488,0.2094,-0.3226,0.5609,2.42,3.12,-0.7,43,1.0,0.02,0.0133,0.0009,0.8851,0.1181,-0.767
2026-04-06,Fase 5. Riesgo nuclear y diplomacia,Amenaza explicita de destruir puentes y plantas electricas en Iran,0.72,0.76,0.14,0.01,0.04,0.98,0.9,0.96,0.74,0.76,1.0,1.0,0.98,0.94,0.94,0.98,0.98,evento_actual,0.98,0.305,0.74,0.8942,0.169,0.0892,-0.3972,0.207,-0.6042,0.1896,-0.4727,0.952,2.43,3.58,-1.15,44,1.0,0.02,0.0199,0.0004,0.9049,0.1185,-0.7865
2026-04-06,Fase 5. Riesgo nuclear y diplomacia,Iran acusa al OIEA de inaccion y alerta del riesgo radiologico regional,0.46,0.62,0.58,0.28,0.3,0.3,0.12,0.74,0.2,0.56,1.0,0.95,0.28,0.76,0.08,0.4,0.6,evento_actual,0.6,0.44,0.32,0.318,0.4452,0.3377,0.046,0.08,-0.034,0.355,0.0099,0.3002,2.8,1.36,1.44,45,1.0,0.02,0.0013,0.0025,0.9062,0.121,-0.7852
2026-04-06,Fase 5. Riesgo nuclear y diplomacia,Iran rechaza el alto el fuego temporal y exige un final permanente de la guerra,0.42,0.72,0.58,0.42,0.38,0.34,0.18,0.58,0.06,0.48,1.0,0.95,0.4,0.72,0.2,0.34,0.46,evento_actual,0.46,0.51,0.308,0.2382,0.4876,0.3938,0.0728,0.068,0.0048,0.3914,0.0736,0.3601,3.0,1.16,1.84,46,1.0,0.02,0.0007,0.0035,0.9069,0.1245,-0.7824
2026-04-06,Fase 5. Riesgo nuclear y diplomacia,Presentacion de un plan de dos fases para parar hostilidades,0.56,0.62,0.64,0.56,0.7,0.22,0.1,0.46,0.06,0.6,1.0,0.85,0.18,0.72,0.04,0.26,0.42,evento_actual,0.42,0.58,0.26,0.1754,0.6115,0.5202,0.1125,0.052,0.0605,0.5258,0.1563,0.2176,3.68,0.84,2.84,47,1.0,0.02,0.0003,0.0051,0.9072,0.1296,-0.7777
2026-04-06,Fase 5. Riesgo nuclear y diplomacia,Propuesta de alto el fuego de 45 dias impulsada por mediadores,0.54,0.6,0.62,0.54,0.66,0.24,0.12,0.48,0.06,0.58,1.0,0.85,0.18,0.7,0.04,0.28,0.44,evento_actual,0.44,0.57,0.272,0.185,0.5885,0.4966,0.0995,0.056,0.0435,0.5008,0.1424,0.2202,3.54,0.9,2.64,48,1.0,0.02,0.0004,0.0046,0.9076,0.1341,-0.7735
2026-04-06,Fase 5. Riesgo nuclear y diplomacia,Trump fija ultimatum final para reabrir Ormuz,0.64,0.7,0.2,0.02,0.08,0.9,0.5,0.9,0.3,0.7,1.0,1.0,0.92,0.9,0.76,0.92,0.92,evento_actual,0.92,0.31,0.5,0.684,0.2156,0.128,-0.1896,0.187,-0.3766,0.2363,-0.2748,0.817,2.34,2.6,-0.26,49,1.0,0.02,0.0077,0.0005,0.9153,0.1347,-0.7806
